Surname;First name;Cl.name;Class;Time;Pl;Points;SOL1;SOL2;SOL3;SOL4;SOL5;Sum;Average;ID
Jarc;Val;OK Komenda;M10;0:14:16;1;25;*;15;25;25;25;75;25;1082
Andrejc;Lenart;OK Slovenj Gradec;M10;;;;*;25;20;20;;65;22;1063
Bačnar Tušar;Aljoša;OK Azimut;M10;;;;*;20;15;;;35;18;1122
Prezelj;Mihej;OK Azimut;M10;0:18:06;2;20;;;;;20;20;20;1006
Obid;Anže;OK Azimut;M10;;;;*;-;;15;;15;15;1004
Šuc;Tin;OK Komenda;M10;;;;*;12;;;;12;12;1123
Gaber Raj;Tejo;OK Slovenj Gradec;M10;;;;;;12;;;12;12;1106
Sedej;Žiga;OK Azimut;M10;;;;*;;*;;;0;0;925
Kerčmar;Kevin;OK Azimut;M10;;;;;;;;;0;0;1048
Serjun;Mark;OK Azimut;M10;;;;;;;;;0;0;1061
Andrejc;Aljoša;OK Slovenj Gradec;M10;;;;;;;;;0;0;1017
Cankar;Teodor;ŠOK;M10;;;;;;;;;0;0;1053
Kurtanjek;Lan;OK Azimut;M10;;;;;;;;;0;0;1134
Kölner;Anže;OK Komenda;M12;0:24:11;1;25;*;25;25;20;25;75;25;879
Kurinčič;Jakob;OK Komenda;M12;0:30:57;3;15;;;12;25;15;52;17;915
Malus;Drejc;OK Komenda;M12;0:27:18;2;20;*;20;10;8;20;50;17;895
Sedej;Rok;OK Azimut;M12;0:38:03;4;12;*;12;20;10;12;44;15;924
Šuc;Enej;OK Komenda;M12;1:05:41;8;6;*;10;15;12;6;37;12;928
Bizjak;Beno;OK Azimut;M12;;;;*;;8;15;;23;12;1055
Miheljak;Andraž;OK Slovenj Gradec;M12;0:58:46;6;8;;8;;;8;16;8;981
Nagy;Lovro;OK Polaris;M12;;;;;15;;;;15;15;1126
Novak;Nejc;OK Azimut;M12;0:41:55;5;10;*;;;;10;10;10;1075
Lenart;Vidjan;OK Slovenj Gradec;M12;1:01:15;7;7;;;;;7;7;7;998
Mlakar;Robi;OK Azimut;M12;;;;;;;;;0;0;1058
Kurtanjek;Lovro;OK Azimut;M12;mp;;;*;;;;-;0;0;1112
Golobin;Tilen;OK Komenda;M12;;;;;;;;;0;0;1127
Mlakar;Ruj David;OK Slovenj Gradec;M12;;;;;;;;;0;0;1064
Bogataj;Rok;OK Azimut;M14;;;;*;25;20;25;;70;23;766
Malus;Ožbej;OK Komenda;M14;0:46:11;1;25;*;15;10;15;25;55;18;840
Bizjak;Božo;OK Azimut;M14;;;;*;;25;20;;45;22;1007
Cokan;Jan;OK Komenda;M14;0:48:41;2;20;*;10;15;;20;45;15;897
Sedej;David;OK Azimut;M14;;;;*;20;12;12;;44;15;923
Kremžar;Florijan;OK Komenda;M14;0:52:06;3;15;*;7;6;8;15;30;10;970
Seljak;Jaka;OK Komenda;M14;;;;;8;8;10;;26;9;884
Gantar;Borut;OK Azimut;M14;;;;*;12;7;;;19;10;920
Svetec;Staš;OK Slovenj Gradec;M14;1:15:09;4;12;;;;;12;12;12;997
Česnik;Enej;OK Azimut;M14;;;;*;;;;;0;0;1080
Foški;Oskar;OK Polaris;M14;;;;;-;;;;0;0;878
Miheljak;Tevž;OK Slovenj Gradec;M14;;;;;;;;;0;0;902
Valič;Ištvan;OK Slovenj Gradec;M14;;;;;;;;;0;0;950
