Surname;First name;Cl.name;Class;Time;Pl;Points;SOL1;SOL2;SOL3;SOL4;SOL5;SOL6;SOL7;SOL8;Sum;Average;ID
Jarc;Val;OK Komenda;M10;0:06:30;3;15;*;15;25;25;25;25;25;15;125;25;1082
Obid;Anže;OK Azimut;M10;0:06:02;1;25;*;-;;15;;20;12;25;72;18;1004
Andrejc;Lenart;OK Slovenj Gradec;M10;;;;*;25;20;20;;;;;65;22;1063
Prezelj;Mihej;OK Azimut;M10;0:06:04;2;20;;;;;20;;15;20;55;18;1006
Bačnar Tušar;Aljoša;OK Azimut;M10;0:07:49;5;10;*;20;15;;;;8;10;53;13;1122
Kerčmar;Kevin;OK Azimut;M10;0:07:12;4;12;;;;;;;20;12;32;16;1048
Serjun;Mark;OK Azimut;M10;0:07:52;6;8;;;;;;;10;8;18;9;1061
Šuc;Tin;OK Komenda;M10;wrongKat;;;*;12;;;;;;*;12;12;1123
Gaber Raj;Tejo;OK Slovenj Gradec;M10;;;;;;12;;;;;;12;12;1106
Kurtanjek;Lan;OK Azimut;M10;;;;;;;;;;7;;7;7;1134
Sedej;Žiga;OK Azimut;M10;;;;*;;*;;;*;*;;0;0;925
Andrejc;Aljoša;OK Slovenj Gradec;M10;;;;;;;;;;;;0;0;1017
Cankar;Teodor;ŠOK;M10;;;;;;;;;;;;0;0;1053
Kölner;Anže;OK Komenda;M12;0:09:22;1;25;*;25;25;20;25;25;25;25;125;25;879
Malus;Drejc;OK Komenda;M12;0:13:57;4;12;*;20;10;8;20;20;8;12;82;16;895
Bizjak;Beno;OK Azimut;M12;0:11:40;2;20;*;;8;15;;15;20;20;78;16;1055
Sedej;Rok;OK Azimut;M12;;;;*;12;20;10;12;12;15;;71;14;924
Kurinčič;Jakob;OK Komenda;M12;;;;;;12;25;15;7;7;;66;13;915
Šuc;Enej;OK Komenda;M12;0:12:15;3;15;*;10;15;12;6;6;;15;58;12;928
Kurtanjek;Lovro;OK Azimut;M12;0:15:31;5;10;*;;;;-;10;12;10;32;11;1112
Novak;Nejc;OK Azimut;M12;;;;*;;;;10;8;10;;28;9;1075
Miheljak;Andraž;OK Slovenj Gradec;M12;;;;;8;;;8;;;;16;8;981
Nagy;Lovro;OK Polaris;M12;;;;;15;;;;;;;15;15;1126
Lenart;Vidjan;OK Slovenj Gradec;M12;;;;;;;;7;;;;7;7;998
Mlakar;Robi;OK Azimut;M12;;;;;;;;;;-;;0;0;1058
Golobin;Tilen;OK Komenda;M12;;;;;;;;;;;;0;0;1127
Mlakar;Ruj David;OK Slovenj Gradec;M12;;;;;;;;;;;;0;0;1064
Bogataj;Rok;OK Azimut;M14;0:11:40;1;25;*;25;20;25;;25;25;25;125;25;766
Bizjak;Božo;OK Azimut;M14;0:13:49;2;20;*;;25;20;;15;6;20;86;17;1007
Sedej;David;OK Azimut;M14;;;;*;20;12;12;;20;20;;84;17;923
